GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA01AWAY01,bat,McConnell flied out to rf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA01AWAY02,bat,Langworthy singled to left field (2-2 SFBFB).,1,NA,NA,NA,A,A1,1,Langworthy,NA,NA,B,B1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA01AWAY03,br,Langworthy stole second.,1,Langworthy,NA,NA,B,B1,1,NA,Langworthy,NA,C,C1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA01AWAY04,bat,Maldonado flied out to rf (2-1 BBS).,1,NA,Langworthy,NA,C,C1,2,NA,Langworthy,NA,C,C2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA01AWAY05,bat,Calilao struck out swinging (0-2 SFS).,2,NA,Langworthy,NA,C,C2,3,NA,Langworthy,NA,C,C3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME01,bat,Smith doubled down the rf line (0-1 F).,0,NA,NA,NA,A,A0,0,NA,Smith,NA,C,C0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME02,bat,Broussard walked (3-1 FBBBB).,0,NA,Smith,NA,C,C0,0,Broussard,Smith,NA,E,E0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME03,batbr,Duplantis singled through the right side advanced to second on the throw RBI (2-1 BFB);,0,Broussard,Smith,NA,E,E0,0,Duplantis,Smith,NA,E,E0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME03,batbr,Duplantis singled through the right side advanced to second on the throw RBI (2-1 BFB);,0,Broussard,Smith,NA,E,E0,0,NA,Duplantis,NA,C,C0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME03,br,Broussard advanced to third;,0,Broussard,Smith,NA,E,E0,0,NA,Duplantis,Broussard,G,G0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME03,br,Smith scored.,0,Broussard,Smith,NA,E,E0,0,NA,Duplantis,Broussard,G,G0,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME04,bat,Cabrera hit by pitch (1-1 FB).,0,NA,Duplantis,Broussard,G,G0,0,Cabrera,Duplantis,Broussard,H,H0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME05,bat,"Beloso reached on a fielders choice  RBI (1-0 B);,0,Cabrera,Duplantis,Broussard,H,H0,0,Beloso,Duplantis,Broussard,H,H0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME05,br,Cabrera out at second 2b unassisted;,0,Cabrera,Duplantis,Broussard,H,H0,1,Beloso,Duplantis,Broussard,H,H1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME05,br,Duplantis advanced to third;,0,Cabrera,Duplantis,Broussard,H,H0,1,Beloso,NA,Duplantis,F,F1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME05,br,Broussard scored.",0,Cabrera,Duplantis,Broussard,H,H0,1,Beloso,NA,Duplantis,F,F1,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME06,bat,Willis doubled to right center  RBI (2-2 SSBB);,1,Beloso,NA,Duplantis,F,F1,1,Beloso,Willis,Duplantis,H,H1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME06,br,Beloso advanced to third;,1,Beloso,NA,Duplantis,F,F1,1,NA,Willis,Beloso,G,G1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME06,br,Duplantis scored.,1,Beloso,NA,Duplantis,F,F1,1,NA,Willis,Beloso,G,G1,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME07,bat,DiGiacomo fouled out to p (0-0).,1,NA,Willis,Beloso,G,G1,2,NA,Willis,Beloso,G,G2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA02HOME08,bat,Garza grounded out to ss (2-2 SBSB).,2,NA,Willis,Beloso,G,G2,3,NA,Willis,Beloso,G,G3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA03AWAY01,bat,Acton struck out looking (1-2 BFSK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA03AWAY02,bat,Dalton singled through the right side (1-2 BSS).,1,NA,NA,NA,A,A1,1,Dalton,NA,NA,B,B1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA03AWAY03,bat,Smith struck out swinging (0-2 SSS).,1,Dalton,NA,NA,B,B1,2,Dalton,NA,NA,B,B2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA03AWAY04,br,Dalton out at second c to 2b caught stealing.,2,Dalton,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME01,bat,Bianco singled through the left side (3-2 FBBFBFF).,0,NA,NA,NA,A,A0,0,Bianco,NA,NA,B,B0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME02,bat,Smith doubled to right field  RBI (0-1 S);,0,Bianco,NA,NA,B,B0,0,Bianco,Smith,NA,E,E0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME02,br,Bianco scored.,0,Bianco,NA,NA,B,B0,0,NA,Smith,NA,C,C0,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME03,bat,Broussard hit by pitch (0-0).,0,NA,Smith,NA,C,C0,0,Broussard,Smith,NA,E,E0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME04,sub,Butler to p for Leftwich.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME05,br,Broussard stole second;,0,Broussard,Smith,NA,E,E0,0,NA,Broussard,NA,C,C0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME05,br,Smith stole third.,0,Broussard,Smith,NA,E,E0,0,NA,Broussard,Smith,G,G0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME06,bat,Duplantis singled to right field  RBI (2-2 SBBS);,0,NA,Broussard,Smith,G,G0,0,Duplantis,Broussard,Smith,H,H0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME06,br,Broussard advanced to third;,0,NA,Broussard,Smith,G,G0,0,Duplantis,NA,Broussard,F,F0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME06,br,Smith scored.,0,NA,Broussard,Smith,G,G0,0,Duplantis,NA,Broussard,F,F0,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME07,bat,Cabrera grounded into double play ss to 2b to 1b (0-0);,0,Duplantis,NA,Broussard,F,F0,1,Duplantis,NA,Broussard,F,F1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME07,br,Duplantis out on the play;,0,Duplantis,NA,Broussard,F,F0,2,NA,NA,Broussard,D,D2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME07,br,Broussard scored.,0,Duplantis,NA,Broussard,F,F0,2,NA,NA,NA,A,A2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME08,bat,Beloso reached on a fielding error by 1b (3-2 SFBFBBFFF).,2,NA,NA,NA,A,A2,2,Beloso,NA,NA,B,B2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA04HOME09,bat,Willis struck out swinging (0-2 SSS).,2,Beloso,NA,NA,B,B2,3,Beloso,NA,NA,B,B3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA05AWAY01,bat,Fabian fouled out to 1b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA05AWAY02,bat,J. Young grounded out to ss (1-0 B).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA05AWAY03,bat,McConnell struck out swinging (1-2 BFFS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME01,bat,DiGiacomo struck out swinging (0-2 SFFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME02,bat,Garza struck out swinging (2-2 FFFFBBS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME03,bat,Bianco hit by pitch (0-1 F).,2,NA,NA,NA,A,A2,2,Bianco,NA,NA,B,B2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME04,bat,Smith hit by pitch (0-0);,2,Bianco,NA,NA,B,B2,2,Smith,NA,NA,B,B2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME04,br,Bianco advanced to second.,2,Bianco,NA,NA,B,B2,2,Smith,Bianco,NA,E,E2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME05,bat,Broussard walked (3-2 FBSBBB);,2,Smith,Bianco,NA,E,E2,2,Broussard,Bianco,NA,E,E2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME05,br,Smith advanced to second;,2,Smith,Bianco,NA,E,E2,2,Broussard,Smith,NA,E,E2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME05,br,Bianco advanced to third.,2,Smith,Bianco,NA,E,E2,2,Broussard,Smith,Bianco,H,H2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME06,bat,Duplantis singled to first base  2 RBI (3-2 SBFBBF);,2,Broussard,Smith,Bianco,H,H2,2,Duplantis,Smith,Bianco,H,H2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME06,br,Broussard advanced to third;,2,Broussard,Smith,Bianco,H,H2,2,Duplantis,Smith,Broussard,H,H2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME06,br,Smith scored;,2,Broussard,Smith,Bianco,H,H2,2,Duplantis,NA,Broussard,F,F2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME06,br,Bianco scored.,2,Broussard,Smith,Bianco,H,H2,2,Duplantis,NA,Broussard,F,F2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME07,bat,Cabrera singled to right field  RBI (1-2 SSBF);,2,Duplantis,NA,Broussard,F,F2,2,Cabrera,NA,Broussard,F,F2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME07,br,Duplantis advanced to third;,2,Duplantis,NA,Broussard,F,F2,2,Cabrera,NA,Duplantis,F,F2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME07,br,Broussard scored.,2,Duplantis,NA,Broussard,F,F2,2,Cabrera,NA,Duplantis,F,F2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA06HOME08,bat,Beloso popped up to ss (2-2 BBFF).,2,Cabrera,NA,Duplantis,F,F2,3,Cabrera,NA,Duplantis,F,F3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY01,bat,Langworthy doubled to left center (1-2 BSS).,0,NA,NA,NA,A,A0,0,NA,Langworthy,NA,C,C0,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY02,bat,Maldonado flied out to rf (3-2 BBSBF);,0,NA,Langworthy,NA,C,C0,1,NA,Langworthy,NA,C,C1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY02,br,Langworthy advanced to third.,0,NA,Langworthy,NA,C,C0,1,NA,NA,Langworthy,D,D1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY03,bat,Calilao popped up to 1b (0-2 SF).,1,NA,NA,Langworthy,D,D1,2,NA,NA,Langworthy,D,D2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY04,bat,Acton homered to right field  2 RBI (3-1 BBBS);,2,NA,NA,Langworthy,D,D2,2,NA,NA,NA,A,A2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY04,br,Langworthy scored.,2,NA,NA,Langworthy,D,D2,2,NA,NA,NA,A,A2,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA07AWAY05,bat,Dalton grounded out to ss (2-2 BSFB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA08HOME01,sub,Dyson to p for Butler.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA08HOME02,bat,Willis struck out swinging (3-2 BBSSBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA08HOME03,bat,DiGiacomo doubled to right center (0-0).,1,NA,NA,NA,A,A1,1,NA,Digiacomo,NA,C,C1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA08HOME04,bat,Garza flied out to rf (2-1 SBB).,1,NA,Digiacomo,NA,C,C1,2,NA,Digiacomo,NA,C,C2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA08HOME05,bat,Bianco grounded out to p (1-1 BF).,2,NA,Digiacomo,NA,C,C2,3,NA,Digiacomo,NA,C,C3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA09AWAY01,bat,Smith lined out to ss (3-1 BSBB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA09AWAY02,bat,Fabian grounded out to ss (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA09AWAY03,bat,J. Young flied out to cf (3-1 SBBB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA10HOME01,bat,Smith homered to right field  RBI (1-2 SSB).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA10HOME02,bat,Broussard flied out to lf (1-1 SB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA10HOME03,bat,Duplantis flied out to rf (3-2 BFBBFF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA10HOME04,bat,Cabrera singled to pitcher (0-0).,2,NA,NA,NA,A,A2,2,Cabrera,NA,NA,B,B2,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA10HOME05,bat,Beloso popped up to ss (2-1 FBB).,2,Cabrera,NA,NA,B,B2,3,Cabrera,NA,NA,B,B3,0
FLOR_LSTU_0420201901,FLOR_LSTU_0420201901_PA11AWAY01,bat,McConnell grounded out to ss (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
